episode,total_timesteps,length,reward,total_moves,move_ratio,total_senses,sense_ratio,initial_distance_to_victim,distance_to_maximum_belief,distance_to_maximum_belief_reduction,initial_belief_shannon_entropy,belief_shannon_entropy,belief_shannon_entropy_reduction,success,success_rate,failure,failure_rate
1,400,400,-1.0,303,0.7575,97,0.2425,5,21.0,-16.0,8.614708,7.6046624183654785,1.0100455,0,0.0,1,1.0
2,800,400,-1.0,390,0.975,10,0.025,13,19.0,-6.0,8.611026,8.262167930603027,0.34885788,0,0.0,1,1.0
3,1200,400,-1.0,97,0.2425,303,0.7575,24,10.0,14.0,8.632996,7.592255115509033,1.0407405,0,0.0,1,1.0
4,1600,400,-1.0,383,0.9575,17,0.0425,11,11.0,0.0,8.629356,8.024518013000488,0.6048384,0,0.0,1,1.0
5,2000,400,-1.0,376,0.94,24,0.06,29,15.0,14.0,8.60733,8.235420227050781,0.3719101,0,0.0,1,1.0
6,2400,400,-1.0,398,0.995,2,0.005,25,32.0,-7.0,8.625709,8.507084846496582,0.11862373,0,0.0,1,1.0
7,2423,23,399.942498,19,0.8260869565217391,4,0.17391304347826086,10,27.0,-17.0,8.629356,-0.0,8.629356,1,0.14285714285714285,0,0.8571428571428571
8,2427,4,399.989998,4,1.0,0,0.0,5,7.0,-2.0,8.625709,-0.0,8.625709,1,0.25,0,0.75
9,2827,400,-1.0,358,0.895,42,0.105,21,27.0,-6.0,8.611026,8.234907150268555,0.37611866,0,0.2222222222222222,1,0.7777777777777778
10,3227,400,-1.0,400,1.0,0,0.0,19,20.0,-1.0,8.611026,8.50449275970459,0.10653305,0,0.2,1,0.8
11,3627,400,-1.0,344,0.86,56,0.14,8,10.0,-2.0,8.622052,8.47413444519043,0.14791775,0,0.18181818181818182,1,0.8181818181818182
12,4027,400,-1.0,236,0.59,164,0.41,8,14.0,-6.0,8.611026,8.114425659179688,0.49660015,0,0.16666666666666666,1,0.8333333333333334
13,4427,400,-1.0,396,0.99,4,0.01,12,13.0,-1.0,8.625709,8.390952110290527,0.23475647,0,0.15384615384615385,1,0.8461538461538461
14,4827,400,-1.0,372,0.93,28,0.07,10,16.0,-6.0,8.60733,8.363662719726562,0.2436676,0,0.14285714285714285,1,0.8571428571428571
15,5227,400,-1.0,348,0.87,52,0.13,10,24.0,-14.0,8.625709,8.34289264678955,0.28281593,0,0.13333333333333333,1,0.8666666666666667
16,5627,400,-1.0,380,0.95,20,0.05,14,12.0,2.0,8.60733,7.164466857910156,1.4428635,0,0.125,1,0.875
17,5664,37,399.907498,37,1.0,0,0.0,4,15.0,-11.0,8.618386,-0.0,8.618386,1,0.17647058823529413,0,0.8235294117647058
18,5787,123,399.692498,105,0.8536585365853658,18,0.14634146341463414,11,4.0,7.0,8.614708,-0.0,8.614708,1,0.2222222222222222,0,0.7777777777777778
19,6000,213,399.467498,198,0.9295774647887324,15,0.07042253521126761,10,6.0,4.0,8.618386,-0.0,8.618386,1,0.2631578947368421,0,0.7368421052631579
20,6400,400,-1.0,388,0.97,12,0.03,8,20.0,-12.0,8.611026,8.15788745880127,0.45313835,0,0.25,1,0.75
21,6485,85,399.787498,84,0.9882352941176471,1,0.011764705882352941,18,23.0,-5.0,8.614708,-0.0,8.614708,1,0.2857142857142857,0,0.7142857142857143
