step,action,reward,total_moves,move_ratio,total_senses,sense_ratio,distance_to_maximum_belief,distance_to_maximum_belief_reduction,belief_shannon_entropy,belief_shannon_entropy_reduction,success,failure
1,4,-0.35352576,1,1.0,0,0.0,24.0,-19.0,8.612438201904297,0.002269744873046875,0,0
2,1,-0.48506826,2,1.0,0,0.0,4.0,1.0,8.608980178833008,0.0034580230712890625,0,0
3,2,-0.5480819,3,1.0,0,0.0,5.0,-1.0,8.608752250671387,0.00022792816162109375,0,0
4,1,-0.5558375,4,1.0,0,0.0,4.0,1.0,8.606830596923828,0.0019216537475585938,0,0
5,0,-0.5291185,4,0.8,1,0.2,4.0,0.0,7.047365665435791,1.559464931488037,0,0
6,1,-0.4879725,5,0.8333333333333334,1,0.16666666666666666,1.0,1.0,7.105603218078613,-0.058237552642822266,0,0
7,1,-0.4444931,6,0.8571428571428571,1,0.14285714285714285,2.0,1.0,7.167098522186279,-0.061495304107666016,0,0
8,1,-0.4039889,7,0.875,1,0.125,3.0,-1.0,7.21163272857666,-0.04453420639038086,0,0
9,1,-0.36811265,8,0.8888888888888888,1,0.1111111111111111,7.0,-1.0,7.244417190551758,-0.032784461975097656,0,0
10,2,-0.33694714,9,0.9,1,0.1,6.0,1.0,7.277518272399902,-0.03310108184814453,0,0
11,1,-0.3100187,10,0.9090909090909091,1,0.09090909090909091,7.0,-1.0,7.302523136138916,-0.025004863739013672,0,0
12,2,-0.28672215,11,0.9166666666666666,1,0.08333333333333333,6.0,1.0,7.329015731811523,-0.026492595672607422,0,0
13,1,-0.26648033,12,0.9230769230769231,1,0.07692307692307693,7.0,-1.0,7.352617263793945,-0.023601531982421875,0,0
14,3,-0.24879304,13,0.9285714285714286,1,0.07142857142857142,6.0,1.0,7.368612766265869,-0.015995502471923828,0,0
15,3,-0.23324329,14,0.9333333333333333,1,0.06666666666666667,5.0,1.0,7.385756492614746,-0.017143726348876953,0,0
16,2,-0.21948908,15,0.9375,1,0.0625,4.0,1.0,7.412940502166748,-0.027184009552001953,0,0
17,1,-0.20725131,16,0.9411764705882353,1,0.058823529411764705,5.0,-1.0,7.437755584716797,-0.024815082550048828,0,0
18,2,-0.19630207,17,0.9444444444444444,1,0.05555555555555555,5.0,1.0,7.4590535163879395,-0.021297931671142578,0,0
19,1,-0.18645455,18,0.9473684210526315,1,0.05263157894736842,6.0,-1.0,7.481592178344727,-0.02253866195678711,0,0
20,3,-0.17755494,19,0.95,1,0.05,7.0,-1.0,7.493743896484375,-0.012151718139648438,0,0
21,3,-0.16947578,20,0.9523809523809523,1,0.047619047619047616,8.0,-1.0,7.5106892585754395,-0.016945362091064453,0,0
22,4,-0.16211085,21,0.9545454545454546,1,0.045454545454545456,7.0,1.0,7.534390926361084,-0.02370166778564453,0,0
23,4,-0.15537108,22,0.9565217391304348,1,0.043478260869565216,6.0,1.0,7.54949951171875,-0.015108585357666016,0,0
24,2,-0.14918128,23,0.9583333333333334,1,0.041666666666666664,5.0,1.0,7.565608024597168,-0.01610851287841797,0,0
25,2,-0.14347766,24,0.96,1,0.04,4.0,1.0,7.583138942718506,-0.01753091812133789,0,0
26,2,-0.1382058,25,0.9615384615384616,1,0.038461538461538464,3.0,1.0,7.605813980102539,-0.022675037384033203,0,0
27,2,-0.13331893,26,0.9629629629629629,1,0.037037037037037035,2.0,1.0,7.627943992614746,-0.02213001251220703,0,0
28,2,-0.12877679,27,0.9642857142857143,1,0.03571428571428571,1.0,1.0,7.6691975593566895,-0.04125356674194336,0,0
29,1,-0.12454445,28,0.9655172413793104,1,0.034482758620689655,3.0,-1.0,7.697188854217529,-0.027991294860839844,0,0
30,1,-0.1205915,29,0.9666666666666667,1,0.03333333333333333,6.0,-1.0,7.721261978149414,-0.024073123931884766,0,0
31,2,-0.116891354,30,0.967741935483871,1,0.03225806451612903,5.0,1.0,7.73796272277832,-0.01670074462890625,0,0
32,2,-0.11342068,31,0.96875,1,0.03125,4.0,1.0,7.761197090148926,-0.02323436737060547,0,0
33,2,-0.11015889,32,0.9696969696969697,1,0.030303030303030304,11.0,-7.0,7.783441543579102,-0.02224445343017578,0,0
34,2,-0.10708779,33,0.9705882352941176,1,0.029411764705882353,13.0,-1.0,7.794431686401367,-0.010990142822265625,0,0
35,1,-0.10419122,34,0.9714285714285714,1,0.02857142857142857,11.0,1.0,7.812621116638184,-0.018189430236816406,0,0
36,2,-0.10145478,35,0.9722222222222222,1,0.027777777777777776,6.0,-1.0,7.829078674316406,-0.016457557678222656,0,0
37,1,-0.09886562,36,0.972972972972973,1,0.02702702702702703,5.0,1.0,7.841648578643799,-0.012569904327392578,0,0
38,2,-0.09641221,37,0.9736842105263158,1,0.02631578947368421,6.0,-1.0,7.8573808670043945,-0.015732288360595703,0,0
39,1,-0.09408419,38,0.9743589743589743,1,0.02564102564102564,5.0,1.0,7.868157386779785,-0.010776519775390625,0,0
40,2,-0.09187223,39,0.975,1,0.025,6.0,-1.0,7.8836588859558105,-0.01550149917602539,0,0
41,4,-0.08976789,40,0.975609756097561,1,0.024390243902439025,7.0,-1.0,7.895268440246582,-0.011609554290771484,0,0
42,3,-0.08776353,41,0.9761904761904762,1,0.023809523809523808,6.0,1.0,7.908411502838135,-0.013143062591552734,0,0
43,0,-0.08585222,41,0.9534883720930233,2,0.046511627906976744,6.0,0.0,7.99538516998291,-0.08697366714477539,0,0
44,0,-0.084027655,41,0.9318181818181818,3,0.06818181818181818,8.0,0.0,8.04374885559082,-0.048363685607910156,0,0
45,0,-0.08228408,41,0.9111111111111111,4,0.08888888888888889,10.0,0.0,8.073751449584961,-0.030002593994140625,0,0
46,0,-0.08061623,41,0.8913043478260869,5,0.10869565217391304,11.0,0.0,8.093201637268066,-0.01945018768310547,0,0
47,0,-0.07901929,41,0.8723404255319149,6,0.1276595744680851,11.0,0.0,8.105903625488281,-0.012701988220214844,0,0
48,0,-0.07748887,41,0.8541666666666666,7,0.14583333333333334,11.0,0.0,8.114022254943848,-0.008118629455566406,0,0
49,0,-0.07602089,41,0.8367346938775511,8,0.16326530612244897,11.0,0.0,8.118978500366211,-0.004956245422363281,0,0
50,1,-0.07461162,42,0.84,8,0.16,11.0,1.0,8.136295318603516,-0.017316818237304688,0,0
51,2,-0.073257625,43,0.8431372549019608,8,0.1568627450980392,12.0,-1.0,8.152301788330078,-0.0160064697265625,0,0
52,0,-0.07195573,43,0.8269230769230769,9,0.17307692307692307,12.0,0.0,8.149073600769043,0.0032281875610351562,0,0
53,1,-0.070702985,44,0.8301886792452831,9,0.16981132075471697,11.0,1.0,8.164199829101562,-0.015126228332519531,0,0
54,2,-0.06949668,45,0.8333333333333334,9,0.16666666666666666,12.0,-1.0,8.178635597229004,-0.014435768127441406,0,0
55,1,-0.06833427,46,0.8363636363636363,9,0.16363636363636364,11.0,1.0,8.190977096557617,-0.012341499328613281,0,0
56,2,-0.06721342,47,0.8392857142857143,9,0.16071428571428573,12.0,-1.0,8.203484535217285,-0.012507438659667969,0,0
57,1,-0.06613195,48,0.8421052631578947,9,0.15789473684210525,11.0,1.0,8.21387004852295,-0.010385513305664062,0,0
58,2,-0.065087825,49,0.8448275862068966,9,0.15517241379310345,12.0,-1.0,8.224961280822754,-0.011091232299804688,0,0
59,1,-0.06407915,50,0.847457627118644,9,0.15254237288135594,11.0,1.0,8.233860969543457,-0.008899688720703125,0,0
60,2,-0.06310416,51,0.85,9,0.15,12.0,-1.0,8.243850708007812,-0.009989738464355469,0,0
61,1,-0.062161196,52,0.8524590163934426,9,0.14754098360655737,11.0,1.0,8.251581192016602,-0.0077304840087890625,0,0
62,2,-0.061248716,53,0.8548387096774194,9,0.14516129032258066,12.0,-1.0,8.260683059692383,-0.00910186767578125,0,0
63,1,-0.060365263,54,0.8571428571428571,9,0.14285714285714285,11.0,1.0,8.267467498779297,-0.0067844390869140625,0,0
