step,action,reward,total_moves,move_ratio,total_senses,sense_ratio,distance_to_maximum_belief,distance_to_maximum_belief_reduction,belief_shannon_entropy,belief_shannon_entropy_reduction,success,failure
1,0,-0.0002182411,0,0.0,1,1.0,22.0,-14.0,6.832221031188965,1.797135353088379,0,0
2,4,-0.00021825486,1,0.5,1,0.5,3.0,-1.0,6.902837753295898,-0.0706167221069336,0,0
3,4,-0.00021826861,2,0.6666666666666666,1,0.3333333333333333,4.0,-1.0,6.955260276794434,-0.052422523498535156,0,0
4,4,-0.00021828237,3,0.75,1,0.25,5.0,-1.0,7.008174896240234,-0.05291461944580078,0,0
5,4,-0.00021829612,4,0.8,1,0.2,8.0,-1.0,7.023292541503906,-0.015117645263671875,0,0
6,4,-0.00021830988,5,0.8333333333333334,1,0.16666666666666666,9.0,-1.0,7.059167861938477,-0.03587532043457031,0,0
7,3,-0.00021832364,6,0.8571428571428571,1,0.14285714285714285,8.0,1.0,7.084522724151611,-0.025354862213134766,0,0
8,4,-0.00021833739,7,0.875,1,0.125,9.0,-1.0,7.112096309661865,-0.027573585510253906,0,0
9,3,-0.00021835114,8,0.8888888888888888,1,0.1111111111111111,8.0,1.0,7.132835865020752,-0.02073955535888672,0,0
10,4,-0.00021836489,9,0.9,1,0.1,9.0,-1.0,7.157727241516113,-0.024891376495361328,0,0
11,3,-0.00021837864,10,0.9090909090909091,1,0.09090909090909091,8.0,1.0,7.176084041595459,-0.018356800079345703,0,0
12,4,-0.00021839238,11,0.9166666666666666,1,0.08333333333333333,9.0,-1.0,7.199754238128662,-0.023670196533203125,0,0
13,3,-0.00021840613,12,0.9230769230769231,1,0.07692307692307693,8.0,1.0,7.216648101806641,-0.016893863677978516,0,0
14,4,-0.00021841988,13,0.9285714285714286,1,0.07142857142857142,9.0,-1.0,7.239458084106445,-0.022809982299804688,0,0
15,3,-0.00021843362,14,0.9333333333333333,1,0.06666666666666667,8.0,1.0,7.255313396453857,-0.01585531234741211,0,0
16,4,-0.00021844737,15,0.9375,1,0.0625,9.0,-1.0,7.277365684509277,-0.022052288055419922,0,0
17,3,-0.00021846111,16,0.9411764705882353,1,0.058823529411764705,8.0,1.0,7.2924041748046875,-0.015038490295410156,0,0
18,4,-0.00021847486,17,0.9444444444444444,1,0.05555555555555555,9.0,-1.0,7.313735485076904,-0.021331310272216797,0,0
19,3,-0.0002184886,18,0.9473684210526315,1,0.05263157894736842,8.0,1.0,7.328089714050293,-0.014354228973388672,0,0
20,4,-0.00021850233,19,0.95,1,0.05,9.0,-1.0,7.348729133605957,-0.020639419555664062,0,0
21,3,-0.00021851608,20,0.9523809523809523,1,0.047619047619047616,8.0,1.0,7.36248779296875,-0.013758659362792969,0,0
22,4,-0.00021852982,21,0.9545454545454546,1,0.045454545454545456,9.0,-1.0,7.38245964050293,-0.019971847534179688,0,0
23,3,-0.00021854356,22,0.9565217391304348,1,0.043478260869565216,8.0,1.0,7.395689010620117,-0.0132293701171875,0,0
24,4,-0.0002185573,23,0.9583333333333334,1,0.041666666666666664,9.0,-1.0,7.415024757385254,-0.01933574676513672,0,0
25,3,-0.00021857103,24,0.96,1,0.04,8.0,1.0,7.427775859832764,-0.012751102447509766,0,0
26,4,-0.00021858477,25,0.9615384615384616,1,0.038461538461538464,9.0,-1.0,7.446506500244141,-0.018730640411376953,0,0
27,3,-0.0002185985,26,0.9629629629629629,1,0.037037037037037035,8.0,1.0,7.45881986618042,-0.012313365936279297,0,0
28,4,-0.00021861223,27,0.9642857142857143,1,0.03571428571428571,9.0,-1.0,7.476975440979004,-0.018155574798583984,0,0
29,3,-0.00021862597,28,0.9655172413793104,1,0.034482758620689655,8.0,1.0,7.488885402679443,-0.011909961700439453,0,0
30,4,-0.0002186397,29,0.9666666666666667,1,0.03333333333333333,9.0,-1.0,7.506494522094727,-0.017609119415283203,0,0
31,3,-0.00021865343,30,0.967741935483871,1,0.03225806451612903,8.0,1.0,7.51802921295166,-0.011534690856933594,0,0
32,4,-0.00021866716,31,0.96875,1,0.03125,9.0,-1.0,7.53511905670166,-0.01708984375,0,0
33,3,-0.00021868089,32,0.9696969696969697,1,0.030303030303030304,8.0,1.0,7.546303749084473,-0.0111846923828125,0,0
34,4,-0.00021869462,33,0.9705882352941176,1,0.029411764705882353,9.0,-1.0,7.562900066375732,-0.016596317291259766,0,0
35,3,-0.00021870834,34,0.9714285714285714,1,0.02857142857142857,8.0,1.0,7.573753356933594,-0.010853290557861328,0,0
36,4,-0.00021872207,35,0.9722222222222222,1,0.027777777777777776,9.0,-1.0,7.589880466461182,-0.01612710952758789,0,0
37,3,-0.00021873579,36,0.972972972972973,1,0.02702702702702703,8.0,1.0,7.600420951843262,-0.010540485382080078,0,0
38,4,-0.00021874953,37,0.9736842105263158,1,0.02631578947368421,9.0,-1.0,7.616098403930664,-0.015677452087402344,0,0
39,3,-0.00021876325,38,0.9743589743589743,1,0.02564102564102564,8.0,1.0,7.6263427734375,-0.010244369506835938,0,0
40,3,-0.00021877697,39,0.975,1,0.025,7.0,1.0,7.635953903198242,-0.009611129760742188,0,0
41,3,-0.0002187907,40,0.975609756097561,1,0.024390243902439025,6.0,1.0,7.64984655380249,-0.013892650604248047,0,0
42,3,-0.0002188044,41,0.9761904761904762,1,0.023809523809523808,5.0,1.0,7.666588306427002,-0.01674175262451172,0,0
43,4,-0.00021881812,42,0.9767441860465116,1,0.023255813953488372,6.0,-1.0,7.684158802032471,-0.01757049560546875,0,0
44,3,-0.00021883185,43,0.9772727272727273,1,0.022727272727272728,5.0,1.0,7.697098255157471,-0.012939453125,0,0
45,3,-0.00021884557,44,0.9777777777777777,1,0.022222222222222223,4.0,1.0,7.711170196533203,-0.014071941375732422,0,0
46,3,-0.00021885928,45,0.9782608695652174,1,0.021739130434782608,3.0,1.0,7.720016956329346,-0.008846759796142578,0,0
47,4,-0.000218873,46,0.9787234042553191,1,0.02127659574468085,4.0,-1.0,7.740457057952881,-0.020440101623535156,0,0
48,4,-0.00021888671,47,0.9791666666666666,1,0.020833333333333332,5.0,-1.0,7.752915382385254,-0.012458324432373047,0,0
49,4,-0.00021890043,48,0.9795918367346939,1,0.02040816326530612,6.0,-1.0,7.766434669494629,-0.013519287109375,0,0
50,3,-0.00021891414,49,0.98,1,0.02,7.0,1.0,7.780393600463867,-0.013958930969238281,0,0
51,4,-0.00021892785,50,0.9803921568627451,1,0.0196078431372549,8.0,-1.0,7.793681621551514,-0.013288021087646484,0,0
52,4,-0.00021894157,51,0.9807692307692307,1,0.019230769230769232,9.0,-1.0,7.8057098388671875,-0.012028217315673828,0,0
53,4,-0.00021895528,52,0.9811320754716981,1,0.018867924528301886,10.0,-1.0,7.816069602966309,-0.010359764099121094,0,0
54,3,-0.00021896898,53,0.9814814814814815,1,0.018518518518518517,9.0,1.0,7.8282904624938965,-0.01222085952758789,0,0
55,3,10.0,54,0.9818181818181818,1,0.01818181818181818,8.0,1.0,-0.0,7.8282904624938965,1,0
