episode,total_timesteps,length,reward,total_moves,move_ratio,total_senses,sense_ratio,initial_distance_to_victim,distance_to_maximum_belief,distance_to_maximum_belief_reduction,initial_belief_shannon_entropy,belief_shannon_entropy,belief_shannon_entropy_reduction,success,success_rate,failure,failure_rate
36,10445,400,-3.57524,206,0.515,194,0.485,11,28.0,-17.0,8.603626,6.022998809814453,2.5806274,0,0.3888888888888889,1,0.6111111111111112
37,10504,59,401.387274,41,0.6949152542372882,18,0.3050847457627119,12,5.0,7.0,8.614708,-0.0,8.614708,1,0.40540540540540543,0,0.5945945945945946
38,10776,272,399.668592,182,0.6691176470588235,90,0.33088235294117646,9,1.0,8.0,8.603626,-0.0,8.603626,1,0.42105263157894735,0,0.5789473684210527
39,11176,400,-2.171514,229,0.5725,171,0.4275,21,21.0,0.0,8.611026,8.399463653564453,0.21156216,0,0.41025641025641024,1,0.5897435897435898
40,11354,178,401.630877,110,0.6179775280898876,68,0.38202247191011235,16,6.0,10.0,8.60733,-0.0,8.60733,1,0.425,0,0.575
41,11754,400,0.523229,221,0.5525,179,0.4475,16,26.0,-10.0,8.614708,8.059224128723145,0.5554838,0,0.4146341463414634,1,0.5853658536585366
42,12154,400,-3.276099,235,0.5875,165,0.4125,5,25.0,-20.0,8.614708,7.977176189422607,0.63753176,0,0.40476190476190477,1,0.5952380952380952
43,12214,60,401.913038,44,0.7333333333333333,16,0.26666666666666666,10,3.0,7.0,8.618386,-0.0,8.618386,1,0.4186046511627907,0,0.5813953488372093
44,12614,400,-0.938146,271,0.6775,129,0.3225,10,9.0,1.0,8.60733,6.706944465637207,1.9003859,0,0.4090909090909091,1,0.5909090909090909
45,13014,400,-1.120883,257,0.6425,143,0.3575,7,15.0,-8.0,8.611026,6.982199668884277,1.6288261,0,0.4,1,0.6
46,13414,400,-0.523903,302,0.755,98,0.245,12,17.0,-5.0,8.622052,8.03558349609375,0.5864687,0,0.391304347826087,1,0.6086956521739131
47,13814,400,-2.682071,226,0.565,174,0.435,7,22.0,-15.0,8.60733,8.310877799987793,0.29645252,0,0.3829787234042553,1,0.6170212765957447
48,14214,400,-0.756298,225,0.5625,175,0.4375,16,11.0,5.0,8.603626,7.8552703857421875,0.74835587,0,0.375,1,0.625
49,14614,400,-4.992515,275,0.6875,125,0.3125,12,13.0,-1.0,8.622052,8.011398315429688,0.6106539,0,0.3673469387755102,1,0.6326530612244898
50,15014,400,-1.971556,187,0.4675,213,0.5325,13,19.0,-6.0,8.618386,8.038612365722656,0.5797739,0,0.36,1,0.64
