step,action,reward,total_moves,move_ratio,total_senses,sense_ratio,distance_to_maximum_belief,distance_to_maximum_belief_reduction,belief_shannon_entropy,belief_shannon_entropy_reduction,success,failure
1,3,-2.236839,1,1.0,0,0.0,22.0,-17.0,8.60794734954834,0.006760597229003906,0,0
2,3,-0.13114987,2,1.0,0,0.0,4.0,-1.0,8.598888397216797,0.009058952331542969,0,0
3,3,-0.1300039,3,1.0,0,0.0,7.0,-1.0,8.583646774291992,0.015241622924804688,0,0
4,4,-0.13293765,4,1.0,0,0.0,5.0,-1.0,8.584233283996582,-0.0005865097045898438,0,0
5,4,0.13093543,5,1.0,0,0.0,5.0,1.0,8.580961227416992,0.0032720565795898438,0,0
6,1,0.13065243,6,1.0,0,0.0,4.0,1.0,8.579216003417969,0.0017452239990234375,0,0
7,1,-0.13054445,7,1.0,0,0.0,5.0,-1.0,8.566890716552734,0.012325286865234375,0,0
8,0,0.004076618,7,0.875,1,0.125,3.0,0.0,8.538152694702148,0.028738021850585938,0,0
9,1,-0.13252315,8,0.8888888888888888,1,0.1111111111111111,32.0,-1.0,8.536502838134766,0.0016498565673828125,0,0
10,1,-0.13274057,9,0.9,1,0.1,33.0,-1.0,8.536026000976562,0.000476837158203125,0,0
11,1,-0.13231456,10,0.9090909090909091,1,0.09090909090909091,34.0,-1.0,8.53325080871582,0.0027751922607421875,0,0
12,4,-0.13261613,11,0.9166666666666666,1,0.08333333333333333,35.0,-1.0,8.532102584838867,0.001148223876953125,0,0
13,4,-0.13254718,12,0.9230769230769231,1,0.07692307692307693,36.0,-1.0,8.530582427978516,0.0015201568603515625,0,0
14,0,0.0018698915,12,0.8571428571428571,2,0.14285714285714285,36.0,0.0,8.513750076293945,0.016832351684570312,0,0
15,3,0.13014123,13,0.8666666666666667,2,0.13333333333333333,35.0,1.0,8.514762878417969,-0.0010128021240234375,0,0
16,4,-0.1330271,14,0.875,2,0.125,36.0,-1.0,8.51583194732666,-0.0010690689086914062,0,0
17,0,0.0012337165,14,0.8235294117647058,3,0.17647058823529413,36.0,0.0,8.502431869506836,0.013400077819824219,0,0
18,0,0.00075715967,14,0.7777777777777778,4,0.2222222222222222,36.0,0.0,8.491602897644043,0.010828971862792969,0,0
19,2,0.13002774,15,0.7894736842105263,4,0.21052631578947367,35.0,1.0,8.4932279586792,-0.00162506103515625,0,0
20,0,0.0010984917,15,0.75,5,0.25,35.0,0.0,8.480557441711426,0.012670516967773438,0,0
21,2,0.13002704,16,0.7619047619047619,5,0.23809523809523808,34.0,1.0,8.482186317443848,-0.001628875732421875,0,0
22,0,0.16842428,16,0.7272727272727273,6,0.2727272727272727,34.0,0.0,7.5667643547058105,0.9154219627380371,0,0
23,2,0.12605126,17,0.7391304347826086,6,0.2608695652173913,6.0,1.0,7.589843273162842,-0.02307891845703125,0,0
24,0,-0.016729701,17,0.7083333333333334,7,0.2916666666666667,6.0,0.0,7.673358917236328,-0.08351564407348633,0,0
25,1,-0.13722233,18,0.72,7,0.28,8.0,-1.0,7.697062015533447,-0.02370309829711914,0,0
26,2,0.12631498,19,0.7307692307692307,7,0.2692307692307692,6.0,1.0,7.7187180519104,-0.021656036376953125,0,0
27,0,-0.010872611,19,0.7037037037037037,8,0.2962962962962963,6.0,0.0,7.770633697509766,-0.051915645599365234,0,0
28,1,-0.13667428,20,0.7142857142857143,8,0.2857142857142857,8.0,-1.0,7.791379928588867,-0.020746231079101562,0,0
29,1,-0.136522,21,0.7241379310344828,8,0.27586206896551724,9.0,-1.0,7.811304569244385,-0.019924640655517578,0,0
30,1,0.1271479,22,0.7333333333333333,8,0.26666666666666666,8.0,1.0,7.828466892242432,-0.017162322998046875,0,0
31,2,-0.13625711,23,0.7419354838709677,8,0.25806451612903225,9.0,-1.0,7.8469624519348145,-0.018495559692382812,0,0
32,0,-0.0066990275,23,0.71875,9,0.28125,9.0,0.0,7.876360893249512,-0.029398441314697266,0,0
33,0,-0.006464461,23,0.696969696969697,10,0.30303030303030304,9.0,0.0,7.904493808746338,-0.028132915496826172,0,0
34,2,0.12715586,24,0.7058823529411765,10,0.29411764705882354,9.0,1.0,7.9216132164001465,-0.017119407653808594,0,0
35,3,-0.13567008,25,0.7142857142857143,10,0.2857142857142857,10.0,-1.0,7.936941623687744,-0.015328407287597656,0,0
36,4,0.12736116,26,0.7222222222222222,10,0.2777777777777778,9.0,1.0,7.952953338623047,-0.016011714935302734,0,0
37,2,0.12777895,27,0.7297297297297297,10,0.2702702702702703,8.0,1.0,7.966711044311523,-0.013757705688476562,0,0
38,1,-0.13554458,28,0.7368421052631579,10,0.2631578947368421,9.0,-1.0,7.981362342834473,-0.014651298522949219,0,0
39,2,0.12793149,29,0.7435897435897436,10,0.2564102564102564,8.0,1.0,7.994297027587891,-0.012934684753417969,0,0
40,2,0.12861328,30,0.75,10,0.25,7.0,1.0,8.00355339050293,-0.009256362915039062,0,0
41,2,0.12830395,31,0.7560975609756098,10,0.24390243902439024,6.0,1.0,8.01447868347168,-0.01092529296875,0,0
42,0,-0.0057391087,31,0.7380952380952381,11,0.2619047619047619,6.0,0.0,8.038698196411133,-0.024219512939453125,0,0
43,1,0.12782031,32,0.7441860465116279,11,0.2558139534883721,11.0,1.0,8.05223274230957,-0.0135345458984375,0,0
