step,action,reward,total_moves,move_ratio,total_senses,sense_ratio,distance_to_maximum_belief,distance_to_maximum_belief_reduction,belief_shannon_entropy,belief_shannon_entropy_reduction,success,failure
1,0,-2.3642757,0,0.0,1,1.0,23.0,-18.0,8.585598945617676,0.02910900115966797,0,0
2,3,0.13130645,1,0.5,1,0.5,29.0,1.0,8.58032512664795,0.0052738189697265625,0,0
3,3,0.1320045,2,0.6666666666666666,1,0.3333333333333333,28.0,1.0,8.571285247802734,0.009039878845214844,0,0
4,3,0.1330543,3,0.75,1,0.25,27.0,1.0,8.556581497192383,0.014703750610351562,0,0
5,1,401.45316,4,0.8,1,0.2,28.0,-1.0,-0.0,8.556581497192383,1,0
