episode,total_timesteps,length,reward,total_moves,move_ratio,total_senses,sense_ratio,initial_distance_to_victim,distance_to_maximum_belief,distance_to_maximum_belief_reduction,initial_belief_shannon_entropy,belief_shannon_entropy,belief_shannon_entropy_reduction,success,success_rate,failure,failure_rate
1,26,26,400.900513,19,0.7307692307692307,7,0.2692307692307692,13,14.0,-1.0,8.611026,-0.0,8.611026,1,1.0,0,0.0
2,59,33,398.397609,22,0.6666666666666666,11,0.3333333333333333,5,12.0,-7.0,8.614708,-0.0,8.614708,1,1.0,0,0.0
3,77,18,398.541779,18,1.0,0,0.0,10,3.0,7.0,8.625709,-0.0,8.625709,1,1.0,0,0.0
4,187,110,397.768889,85,0.7727272727272727,25,0.22727272727272727,9,15.0,-6.0,8.625709,-0.0,8.625709,1,1.0,0,0.0
5,191,4,398.566846,3,0.75,1,0.25,1,5.0,-4.0,8.611026,-0.0,8.611026,1,1.0,0,0.0
6,374,183,401.227926,150,0.819672131147541,33,0.18032786885245902,12,15.0,-3.0,8.618386,-0.0,8.618386,1,1.0,0,0.0
7,774,400,-4.881443,287,0.7175,113,0.2825,1,16.0,-15.0,8.611026,8.111762046813965,0.49926376,0,0.8571428571428571,1,0.14285714285714285
8,782,8,398.683476,8,1.0,0,0.0,3,7.0,-4.0,8.60733,-0.0,8.60733,1,0.875,0,0.125
9,1182,400,3.504795,395,0.9875,5,0.0125,9,5.0,4.0,8.60733,8.29551887512207,0.31181145,0,0.7777777777777778,1,0.2222222222222222
10,1582,400,-1.214409,265,0.6625,135,0.3375,12,32.0,-20.0,8.611026,8.204730987548828,0.40629482,0,0.7,1,0.3
11,1593,11,400.403302,11,1.0,0,0.0,11,3.0,8.0,8.622052,-0.0,8.622052,1,0.7272727272727273,0,0.2727272727272727
12,1700,107,401.323557,30,0.2803738317757009,77,0.719626168224299,11,6.0,5.0,8.611026,-0.0,8.611026,1,0.75,0,0.25
13,1926,226,403.285498,165,0.7300884955752213,61,0.26991150442477874,8,5.0,3.0,8.629356,-0.0,8.629356,1,0.7692307692307693,0,0.23076923076923078
