episode,total_timesteps,length,reward,total_moves,move_ratio,total_senses,sense_ratio,initial_distance_to_victim,distance_to_maximum_belief,distance_to_maximum_belief_reduction,initial_belief_shannon_entropy,belief_shannon_entropy,belief_shannon_entropy_reduction,success,success_rate,failure,failure_rate
1,106,106,396.210458,77,0.7264150943396226,29,0.27358490566037735,5,6.0,-1.0,8.614708,-0.0,8.614708,1,1.0,0,0.0
2,136,30,400.389868,20,0.6666666666666666,10,0.3333333333333333,9,1.0,8.0,8.60733,-0.0,8.60733,1,1.0,0,0.0
3,536,400,-4.461495,184,0.46,216,0.54,13,35.0,-22.0,8.611026,8.139730453491211,0.47129536,0,0.6666666666666666,1,0.3333333333333333
4,936,400,2.374451,223,0.5575,177,0.4425,19,27.0,-8.0,8.60733,7.684061050415039,0.9232693,0,0.5,1,0.5
5,1336,400,0.471139,217,0.5425,183,0.4575,22,14.0,8.0,8.614708,7.436911582946777,1.1777964,0,0.4,1,0.6
6,1343,7,401.397704,6,0.8571428571428571,1,0.14285714285714285,2,4.0,-2.0,8.614708,-0.0,8.614708,1,0.5,0,0.5
7,1743,400,-0.949129,228,0.57,172,0.43,21,24.0,-3.0,8.611026,7.575512409210205,1.0355134,0,0.42857142857142855,1,0.5714285714285714
8,1939,196,401.080694,137,0.6989795918367347,59,0.3010204081632653,12,2.0,10.0,8.614708,-0.0,8.614708,1,0.5,0,0.5
9,2339,400,-0.450928,145,0.3625,255,0.6375,17,30.0,-13.0,8.611026,7.91257905960083,0.69844675,0,0.4444444444444444,1,0.5555555555555556
10,2739,400,-2.495661,258,0.645,142,0.355,17,14.0,3.0,8.611026,8.168909072875977,0.44211674,0,0.4,1,0.6
11,3139,400,-2.523544,238,0.595,162,0.405,18,35.0,-17.0,8.614708,8.272134780883789,0.34257317,0,0.36363636363636365,1,0.6363636363636364
12,3539,400,2.834273,145,0.3625,255,0.6375,23,15.0,8.0,8.611026,8.164782524108887,0.4462433,0,0.3333333333333333,1,0.6666666666666666
13,3939,400,-4.29971,260,0.65,140,0.35,11,8.0,3.0,8.625709,7.566621780395508,1.0590868,0,0.3076923076923077,1,0.6923076923076923
14,4339,400,-1.713199,161,0.4025,239,0.5975,13,10.0,3.0,8.614708,8.196244239807129,0.4184637,0,0.2857142857142857,1,0.7142857142857143
15,4377,38,397.428411,25,0.6578947368421053,13,0.34210526315789475,9,3.0,6.0,8.611026,-0.0,8.611026,1,0.3333333333333333,0,0.6666666666666666
16,4452,75,396.430705,50,0.6666666666666666,25,0.3333333333333333,8,4.0,4.0,8.632996,-0.0,8.632996,1,0.375,0,0.625
17,4852,400,1.538666,192,0.48,208,0.52,29,8.0,21.0,8.622052,7.1503095626831055,1.4717426,0,0.35294117647058826,1,0.6470588235294118
18,5252,400,-5.532186,279,0.6975,121,0.3025,10,18.0,-8.0,8.625709,7.744226455688477,0.8814821,0,0.3333333333333333,1,0.6666666666666666
