episode,total_timesteps,length,reward,total_moves,move_ratio,total_senses,sense_ratio,initial_distance_to_victim,distance_to_maximum_belief,distance_to_maximum_belief_reduction,initial_belief_shannon_entropy,belief_shannon_entropy,belief_shannon_entropy_reduction,success,success_rate,failure,failure_rate
1,49,49,399.390703,38,0.7755102040816326,11,0.22448979591836735,5,3.0,2.0,8.614708,-0.0,8.614708,1,1.0,0,0.0
2,449,400,-1.916498,235,0.5875,165,0.4125,13,8.0,5.0,8.611026,7.707100868225098,0.90392494,0,0.5,1,0.5
3,849,400,-2.163466,218,0.545,182,0.455,7,21.0,-14.0,8.611026,8.243789672851562,0.36723614,0,0.3333333333333333,1,0.6666666666666666
4,1249,400,-0.792296,278,0.695,122,0.305,12,14.0,-2.0,8.614708,6.930702209472656,1.6840057,0,0.25,1,0.75
5,1649,400,-0.374595,233,0.5825,167,0.4175,21,25.0,-4.0,8.611026,8.110389709472656,0.5006361,0,0.2,1,0.8
6,1799,150,398.212776,67,0.44666666666666666,83,0.5533333333333333,6,5.0,1.0,8.618386,-0.0,8.618386,1,0.3333333333333333,0,0.6666666666666666
7,2199,400,-1.120335,282,0.705,118,0.295,15,23.0,-8.0,8.611026,8.347208976745605,0.26381683,0,0.2857142857142857,1,0.7142857142857143
8,2566,367,399.251887,245,0.667574931880109,122,0.33242506811989103,10,3.0,7.0,8.603626,-0.0,8.603626,1,0.375,0,0.625
9,2579,13,399.651799,9,0.6923076923076923,4,0.3076923076923077,3,4.0,-1.0,8.60733,-0.0,8.60733,1,0.4444444444444444,0,0.5555555555555556
10,2979,400,-1.877509,283,0.7075,117,0.2925,15,24.0,-9.0,8.622052,8.005151748657227,0.61690044,0,0.4,1,0.6
11,3379,400,-2.154509,236,0.59,164,0.41,3,14.0,-11.0,8.611026,8.146766662597656,0.46425915,0,0.36363636363636365,1,0.6363636363636364
12,3463,84,399.847987,58,0.6904761904761905,26,0.30952380952380953,5,3.0,2.0,8.622052,-0.0,8.622052,1,0.4166666666666667,0,0.5833333333333334
13,3473,10,400.049535,9,0.9,1,0.1,7,25.0,-18.0,8.611026,-0.0,8.611026,1,0.46153846153846156,0,0.5384615384615384
14,3812,339,401.607719,238,0.7020648967551623,101,0.29793510324483774,15,2.0,13.0,8.622052,-0.0,8.622052,1,0.5,0,0.5
15,4212,400,-1.429536,286,0.715,114,0.285,7,20.0,-13.0,8.632996,8.15539264678955,0.47760296,0,0.4666666666666667,1,0.5333333333333333
16,4240,28,400.287299,18,0.6428571428571429,10,0.35714285714285715,6,4.0,2.0,8.60733,-0.0,8.60733,1,0.5,0,0.5
17,4640,400,-1.877522,281,0.7025,119,0.2975,23,13.0,10.0,8.60733,7.9952497482299805,0.6120806,0,0.47058823529411764,1,0.5294117647058824
18,4761,121,399.847269,76,0.628099173553719,45,0.371900826446281,6,3.0,3.0,8.625709,-0.0,8.625709,1,0.5,0,0.5
19,5161,400,-2.433264,217,0.5425,183,0.4575,10,19.0,-9.0,8.618386,8.322516441345215,0.29586983,0,0.47368421052631576,1,0.5263157894736842
20,5561,400,-1.700128,292,0.73,108,0.27,10,33.0,-23.0,8.611026,8.212088584899902,0.39893723,0,0.45,1,0.55
21,5798,237,401.538177,143,0.6033755274261603,94,0.39662447257383965,19,10.0,9.0,8.625709,-0.0,8.625709,1,0.47619047619047616,0,0.5238095238095238
22,6198,400,-2.367024,212,0.53,188,0.47,14,21.0,-7.0,8.614708,8.316071510314941,0.29863644,0,0.45454545454545453,1,0.5454545454545454
23,6598,400,-2.797013,273,0.6825,127,0.3175,4,15.0,-11.0,8.603626,7.9775800704956055,0.6260462,0,0.43478260869565216,1,0.5652173913043478
24,6998,400,-1.706424,268,0.67,132,0.33,13,17.0,-4.0,8.611026,6.860750675201416,1.7502751,0,0.4166666666666667,1,0.5833333333333334
25,7092,94,399.435847,58,0.6170212765957447,36,0.3829787234042553,4,5.0,-1.0,8.625709,-0.0,8.625709,1,0.44,0,0.56
26,7149,57,399.435131,31,0.543859649122807,26,0.45614035087719296,10,7.0,3.0,8.622052,-0.0,8.622052,1,0.46153846153846156,0,0.5384615384615384
27,7549,400,1.313758,239,0.5975,161,0.4025,18,18.0,0.0,8.611026,7.634718894958496,0.9763069,0,0.4444444444444444,1,0.5555555555555556
28,7949,400,0.556623,279,0.6975,121,0.3025,30,25.0,5.0,8.614708,7.284543514251709,1.3301644,0,0.42857142857142855,1,0.5714285714285714
29,8018,69,399.548344,41,0.5942028985507246,28,0.4057971014492754,9,5.0,4.0,8.618386,-0.0,8.618386,1,0.4482758620689655,0,0.5517241379310345
30,8418,400,0.156821,285,0.7125,115,0.2875,19,30.0,-11.0,8.618386,8.063164710998535,0.55522156,0,0.43333333333333335,1,0.5666666666666667
31,8431,13,399.717617,4,0.3076923076923077,9,0.6923076923076923,5,4.0,1.0,8.60733,-0.0,8.60733,1,0.45161290322580644,0,0.5483870967741935
32,8831,400,-0.973011,250,0.625,150,0.375,11,20.0,-9.0,8.614708,8.179008483886719,0.43569946,0,0.4375,1,0.5625
33,8895,64,398.89798,50,0.78125,14,0.21875,8,5.0,3.0,8.625709,-0.0,8.625709,1,0.45454545454545453,0,0.5454545454545454
34,9248,353,400.529697,250,0.7082152974504249,103,0.29178470254957506,15,8.0,7.0,8.614708,-0.0,8.614708,1,0.47058823529411764,0,0.5294117647058824
35,9414,166,400.879463,86,0.5180722891566265,80,0.4819277108433735,15,5.0,10.0,8.611026,-0.0,8.611026,1,0.4857142857142857,0,0.5142857142857142
