episode,total_timesteps,length,reward,total_moves,move_ratio,total_senses,sense_ratio,initial_distance_to_victim,distance_to_maximum_belief,distance_to_maximum_belief_reduction,initial_belief_shannon_entropy,belief_shannon_entropy,belief_shannon_entropy_reduction,success,success_rate,failure,failure_rate
1,21,21,399.509268,12,0.5714285714285714,9,0.42857142857142855,5,3.0,2.0,8.614708,-0.0,8.614708,1,1.0,0,0.0
2,421,400,-1.434073,208,0.52,192,0.48,13,15.0,-2.0,8.611026,6.79457426071167,1.8164515,0,0.5,1,0.5
3,821,400,-3.384775,272,0.68,128,0.32,8,17.0,-9.0,8.60733,7.797484397888184,0.8098459,0,0.3333333333333333,1,0.6666666666666666
4,1145,324,402.647466,211,0.6512345679012346,113,0.3487654320987654,22,3.0,19.0,8.611026,-0.0,8.611026,1,0.5,0,0.5
5,1545,400,-0.826634,251,0.6275,149,0.3725,15,22.0,-7.0,8.622052,8.012007713317871,0.6100445,0,0.4,1,0.6
6,1945,400,-2.35556,213,0.5325,187,0.4675,14,23.0,-9.0,8.611026,7.152779579162598,1.4582462,0,0.3333333333333333,1,0.6666666666666666
7,2345,400,3.469971,194,0.485,206,0.515,25,14.0,11.0,8.622052,7.061336517333984,1.5607157,0,0.2857142857142857,1,0.7142857142857143
8,2745,400,-4.859171,228,0.57,172,0.43,22,27.0,-5.0,8.625709,8.243372917175293,0.38233566,0,0.25,1,0.75
9,3145,400,1.276353,151,0.3775,249,0.6225,20,31.0,-11.0,8.622052,8.013541221618652,0.608511,0,0.2222222222222222,1,0.7777777777777778
10,3315,170,404.223787,120,0.7058823529411765,50,0.29411764705882354,22,10.0,12.0,8.614708,-0.0,8.614708,1,0.3,0,0.7
11,3715,400,-2.2171,156,0.39,244,0.61,14,36.0,-22.0,8.611026,8.19969367980957,0.41133213,0,0.2727272727272727,1,0.7272727272727273
12,4115,400,-0.413528,142,0.355,258,0.645,23,5.0,18.0,8.60733,6.171816349029541,2.435514,0,0.25,1,0.75
13,4381,266,398.468588,188,0.706766917293233,78,0.2932330827067669,9,9.0,0.0,8.618386,-0.0,8.618386,1,0.3076923076923077,0,0.6923076923076923
14,4781,400,-1.303001,234,0.585,166,0.415,13,18.0,-5.0,8.603626,7.858269691467285,0.74535656,0,0.2857142857142857,1,0.7142857142857143
15,5181,400,-1.129488,162,0.405,238,0.595,21,33.0,-12.0,8.614708,8.110841751098633,0.5038662,0,0.26666666666666666,1,0.7333333333333333
16,5581,400,-1.317214,253,0.6325,147,0.3675,7,9.0,-2.0,8.603626,7.898505210876465,0.70512104,0,0.25,1,0.75
17,5981,400,5.278566,283,0.7075,117,0.2925,12,13.0,-1.0,8.625709,7.870862007141113,0.7548466,0,0.23529411764705882,1,0.7647058823529411
18,6381,400,-2.260856,236,0.59,164,0.41,23,27.0,-4.0,8.629356,7.623516082763672,1.0058403,0,0.2222222222222222,1,0.7777777777777778
19,6781,400,-1.741142,188,0.47,212,0.53,15,22.0,-7.0,8.588715,7.603288650512695,0.98542595,0,0.21052631578947367,1,0.7894736842105263
20,7181,400,-0.954414,153,0.3825,247,0.6175,19,19.0,0.0,8.614708,8.350105285644531,0.26460266,0,0.2,1,0.8
21,7194,13,394.241257,7,0.5384615384615384,6,0.46153846153846156,2,8.0,-6.0,8.618386,-0.0,8.618386,1,0.23809523809523808,0,0.7619047619047619
22,7594,400,-1.874218,200,0.5,200,0.5,17,14.0,3.0,8.622052,7.99677038192749,0.6252818,0,0.22727272727272727,1,0.7727272727272727
23,7652,58,401.079283,44,0.7586206896551724,14,0.2413793103448276,6,9.0,-3.0,8.60733,-0.0,8.60733,1,0.2608695652173913,0,0.7391304347826086
24,8020,368,402.920021,212,0.5760869565217391,156,0.42391304347826086,16,6.0,10.0,8.614708,-0.0,8.614708,1,0.2916666666666667,0,0.7083333333333334
25,8420,400,3.445603,247,0.6175,153,0.3825,13,19.0,-6.0,8.614708,7.835582733154297,0.7791252,0,0.28,1,0.72
26,8820,400,-3.486481,230,0.575,170,0.425,22,16.0,6.0,8.629356,8.095617294311523,0.5337391,0,0.2692307692307692,1,0.7307692307692307
27,9220,400,-5.610994,208,0.52,192,0.48,20,27.0,-7.0,8.611026,8.128623962402344,0.48240185,0,0.25925925925925924,1,0.7407407407407407
28,9620,400,-2.984047,219,0.5475,181,0.4525,10,18.0,-8.0,8.625709,8.155827522277832,0.46988106,0,0.25,1,0.75
29,10020,400,-2.462593,233,0.5825,167,0.4175,7,31.0,-24.0,8.611026,8.151962280273438,0.45906353,0,0.2413793103448276,1,0.7586206896551724
30,10420,400,1.05074,254,0.635,146,0.365,21,23.0,-2.0,8.618386,7.913597106933594,0.70478916,0,0.23333333333333334,1,0.7666666666666667
31,10437,17,399.241977,16,0.9411764705882353,1,0.058823529411764705,7,35.0,-28.0,8.614708,-0.0,8.614708,1,0.25806451612903225,0,0.7419354838709677
32,10837,400,-2.830227,199,0.4975,201,0.5025,14,29.0,-15.0,8.599912,7.712573528289795,0.88733816,0,0.25,1,0.75
33,11237,400,0.760327,146,0.365,254,0.635,21,25.0,-4.0,8.611026,7.979349136352539,0.6316767,0,0.24242424242424243,1,0.7575757575757576
34,11637,400,0.710422,267,0.6675,133,0.3325,20,26.0,-6.0,8.632996,8.13766098022461,0.49533463,0,0.23529411764705882,1,0.7647058823529411
35,12037,400,-2.717815,222,0.555,178,0.445,17,5.0,12.0,8.611026,8.132832527160645,0.47819328,0,0.22857142857142856,1,0.7714285714285715
36,12085,48,396.889615,34,0.7083333333333334,14,0.2916666666666667,5,1.0,4.0,8.618386,-0.0,8.618386,1,0.25,0,0.75
37,12089,4,399.231776,2,0.5,2,0.5,4,3.0,1.0,8.614708,-0.0,8.614708,1,0.2702702702702703,0,0.7297297297297297
38,12468,379,401.338401,174,0.45910290237467016,205,0.5408970976253298,7,7.0,0.0,8.618386,-0.0,8.618386,1,0.2894736842105263,0,0.7105263157894737
39,12868,400,-5.658597,214,0.535,186,0.465,11,13.0,-2.0,8.625709,7.555281162261963,1.0704274,0,0.28205128205128205,1,0.717948717948718
40,13268,400,-4.334249,207,0.5175,193,0.4825,19,19.0,0.0,8.614708,8.235450744628906,0.3792572,0,0.275,1,0.725
41,13668,400,-5.097616,223,0.5575,177,0.4425,12,17.0,-5.0,8.625709,7.463301181793213,1.1624074,0,0.2682926829268293,1,0.7317073170731707
42,14068,400,-7.95926,212,0.53,188,0.47,7,21.0,-14.0,8.60733,5.938354015350342,2.6689763,0,0.2619047619047619,1,0.7380952380952381
43,14468,400,1.241409,190,0.475,210,0.525,17,10.0,7.0,8.611026,8.101119995117188,0.5099058,0,0.2558139534883721,1,0.7441860465116279
44,14868,400,-0.839526,247,0.6175,153,0.3825,14,25.0,-11.0,8.614708,8.042497634887695,0.5722103,0,0.25,1,0.75
45,15268,400,-0.403108,221,0.5525,179,0.4475,18,37.0,-19.0,8.629356,8.294862747192383,0.33449364,0,0.24444444444444444,1,0.7555555555555555
46,15668,400,6.611333,180,0.45,220,0.55,29,29.0,0.0,8.614708,7.819552421569824,0.7951555,0,0.2391304347826087,1,0.7608695652173914
