episode,total_timesteps,length,reward,total_moves,move_ratio,total_senses,sense_ratio,initial_distance_to_victim,distance_to_maximum_belief,distance_to_maximum_belief_reduction,initial_belief_shannon_entropy,belief_shannon_entropy,belief_shannon_entropy_reduction,success,success_rate,failure,failure_rate
36,9883,400,-0.94083,292,0.73,108,0.27,7,17.0,-10.0,8.629356,8.167546272277832,0.4618101,0,0.4444444444444444,1,0.5555555555555556
37,10283,400,0.932068,292,0.73,108,0.27,32,31.0,1.0,8.618386,7.991456508636475,0.62692976,0,0.43243243243243246,1,0.5675675675675675
38,10513,230,402.348754,152,0.6608695652173913,78,0.3391304347826087,7,4.0,3.0,8.614708,-0.0,8.614708,1,0.4473684210526316,0,0.5526315789473685
39,10857,344,401.291157,239,0.6947674418604651,105,0.30523255813953487,23,11.0,12.0,8.614708,-0.0,8.614708,1,0.46153846153846156,0,0.5384615384615384
40,10949,92,398.838331,64,0.6956521739130435,28,0.30434782608695654,6,8.0,-2.0,8.611026,-0.0,8.611026,1,0.475,0,0.525
41,10952,3,397.502947,3,1.0,0,0.0,2,7.0,-5.0,8.625709,-0.0,8.625709,1,0.4878048780487805,0,0.5121951219512195
42,11352,400,-0.848623,280,0.7,120,0.3,11,24.0,-13.0,8.618386,7.654770851135254,0.9636154,0,0.47619047619047616,1,0.5238095238095238
43,11723,371,402.184936,276,0.7439353099730458,95,0.2560646900269542,18,3.0,15.0,8.611026,-0.0,8.611026,1,0.4883720930232558,0,0.5116279069767442
44,12037,314,401.590454,219,0.697452229299363,95,0.30254777070063693,15,8.0,7.0,8.60733,-0.0,8.60733,1,0.5,0,0.5
45,12157,120,400.651102,81,0.675,39,0.325,14,4.0,10.0,8.603626,-0.0,8.603626,1,0.5111111111111111,0,0.4888888888888889
46,12557,400,-4.098112,268,0.67,132,0.33,7,21.0,-14.0,8.618386,8.149152755737305,0.4692335,0,0.5,1,0.5
47,12857,300,401.090846,229,0.7633333333333333,71,0.23666666666666666,9,2.0,7.0,8.618386,-0.0,8.618386,1,0.5106382978723404,0,0.48936170212765956
