step,action,reward,total_moves,move_ratio,total_senses,sense_ratio,distance_to_maximum_belief,distance_to_maximum_belief_reduction,belief_shannon_entropy,belief_shannon_entropy_reduction,success,failure
1,1,-0.35352576,1,1.0,0,0.0,22.0,-17.0,8.61223030090332,0.0024776458740234375,0,0
2,0,-0.48506826,1,0.5,1,0.5,3.0,0.0,8.584644317626953,0.027585983276367188,0,0
3,4,-0.5480819,2,0.6666666666666666,1,0.3333333333333333,32.0,-1.0,8.583732604980469,0.000911712646484375,0,0
4,3,-0.5558375,3,0.75,1,0.25,31.0,1.0,8.583757400512695,-2.47955322265625e-05,0,0
5,2,-0.5291185,4,0.8,1,0.2,30.0,1.0,8.582256317138672,0.0015010833740234375,0,0
6,3,-0.4879725,5,0.8333333333333334,1,0.16666666666666666,29.0,1.0,8.576531410217285,0.005724906921386719,0,0
7,3,-0.4444931,6,0.8571428571428571,1,0.14285714285714285,28.0,1.0,8.567598342895508,0.008933067321777344,0,0
8,4,-0.4039889,7,0.875,1,0.125,29.0,-1.0,8.56767463684082,-7.62939453125e-05,0,0
9,0,-0.36811265,7,0.7777777777777778,2,0.2222222222222222,29.0,0.0,8.533746719360352,0.03392791748046875,0,0
10,0,-0.33694714,7,0.7,3,0.3,29.0,0.0,8.502662658691406,0.031084060668945312,0,0
11,2,-0.3100187,8,0.7272727272727273,3,0.2727272727272727,30.0,-1.0,8.497090339660645,0.005572319030761719,0,0
12,2,-0.28672215,9,0.75,3,0.25,31.0,-1.0,8.484964370727539,0.012125968933105469,0,0
13,1,-0.26648033,10,0.7692307692307693,3,0.23076923076923078,30.0,1.0,8.48642349243164,-0.0014591217041015625,0,0
14,2,-0.24879304,11,0.7857142857142857,3,0.21428571428571427,31.0,-1.0,8.487794876098633,-0.0013713836669921875,0,0
15,0,-0.23324329,11,0.7333333333333333,4,0.26666666666666666,31.0,0.0,8.460147857666016,0.027647018432617188,0,0
16,4,-0.21948908,12,0.75,4,0.25,32.0,-1.0,8.462636947631836,-0.0024890899658203125,0,0
17,3,-0.20725131,13,0.7647058823529411,4,0.23529411764705882,31.0,1.0,8.464970588684082,-0.0023336410522460938,0,0
18,4,-0.19630207,14,0.7777777777777778,4,0.2222222222222222,32.0,-1.0,8.467127799987793,-0.0021572113037109375,0,0
19,1,-0.18645455,15,0.7894736842105263,4,0.21052631578947367,31.0,1.0,8.468860626220703,-0.0017328262329101562,0,0
20,3,-0.17755494,16,0.8,4,0.2,30.0,1.0,8.470417022705078,-0.001556396484375,0,0
21,1,-0.16947578,17,0.8095238095238095,4,0.19047619047619047,29.0,1.0,8.470788955688477,-0.0003719329833984375,0,0
22,0,-0.16211085,17,0.7727272727272727,5,0.22727272727272727,29.0,0.0,8.439422607421875,0.03136634826660156,0,0
23,1,-0.15537108,18,0.782608695652174,5,0.21739130434782608,30.0,-1.0,8.441652297973633,-0.0022296905517578125,0,0
24,0,-0.14918128,18,0.75,6,0.25,30.0,0.0,8.413260459899902,0.02839183807373047,0,0
25,0,-0.14347766,18,0.72,7,0.28,30.0,0.0,7.870683670043945,0.542576789855957,0,0
26,4,-0.1382058,19,0.7307692307692307,7,0.2692307692307692,8.0,-1.0,7.892695903778076,-0.02201223373413086,0,0
27,0,-0.13331893,19,0.7037037037037037,8,0.2962962962962963,8.0,0.0,7.942496299743652,-0.04980039596557617,0,0
28,4,-0.12877679,20,0.7142857142857143,8,0.2857142857142857,10.0,-1.0,7.959987640380859,-0.01749134063720703,0,0
29,3,-0.12454445,21,0.7241379310344828,8,0.27586206896551724,9.0,1.0,7.977344512939453,-0.01735687255859375,0,0
30,0,-0.1205915,21,0.7,9,0.3,9.0,0.0,8.011245727539062,-0.033901214599609375,0,0
31,0,-0.116891354,21,0.6774193548387096,10,0.3225806451612903,10.0,0.0,8.039806365966797,-0.028560638427734375,0,0
32,2,-0.11342068,22,0.6875,10,0.3125,10.0,-1.0,8.055527687072754,-0.01572132110595703,0,0
33,2,-0.11015889,23,0.696969696969697,10,0.30303030303030304,11.0,-1.0,8.07029914855957,-0.014771461486816406,0,0
34,1,-0.10708779,24,0.7058823529411765,10,0.29411764705882354,10.0,1.0,8.083654403686523,-0.013355255126953125,0,0
35,0,-0.10419122,24,0.6857142857142857,11,0.3142857142857143,10.0,0.0,7.252091407775879,0.8315629959106445,0,0
36,3,-0.10145478,25,0.6944444444444444,11,0.3055555555555556,4.0,1.0,7.285072326660156,-0.032980918884277344,0,0
37,2,-0.09886562,26,0.7027027027027027,11,0.2972972972972973,5.0,-1.0,7.325614929199219,-0.0405426025390625,0,0
38,2,-0.09641221,27,0.7105263157894737,11,0.2894736842105263,6.0,-1.0,7.363205909729004,-0.037590980529785156,0,0
39,0,-0.09408419,27,0.6923076923076923,12,0.3076923076923077,6.0,0.0,7.460968017578125,-0.0977621078491211,0,0
40,4,-0.09187223,28,0.7,12,0.3,7.0,-1.0,7.492487907409668,-0.03151988983154297,0,0
41,1,-0.08976789,29,0.7073170731707317,12,0.2926829268292683,6.0,1.0,7.520057678222656,-0.02756977081298828,0,0
42,1,-0.08776353,30,0.7142857142857143,12,0.2857142857142857,5.0,1.0,7.54233455657959,-0.022276878356933594,0,0
43,2,-0.08585222,31,0.7209302325581395,12,0.27906976744186046,6.0,-1.0,7.569490432739258,-0.02715587615966797,0,0
44,3,-0.084027655,32,0.7272727272727273,12,0.2727272727272727,5.0,1.0,7.591433525085449,-0.021943092346191406,0,0
45,1,-0.08228408,33,0.7333333333333333,12,0.26666666666666666,4.0,1.0,7.607112407684326,-0.015678882598876953,0,0
46,4,-0.08061623,34,0.7391304347826086,12,0.2608695652173913,5.0,-1.0,7.627719879150391,-0.020607471466064453,0,0
