episode,total_timesteps,length,reward,total_moves,move_ratio,total_senses,sense_ratio,initial_distance_to_victim,distance_to_maximum_belief,distance_to_maximum_belief_reduction,initial_belief_shannon_entropy,belief_shannon_entropy,belief_shannon_entropy_reduction,success,success_rate,failure,failure_rate
1,21,21,399.947498,15,0.7142857142857143,6,0.2857142857142857,5,1.0,4.0,8.614708,-0.0,8.614708,1,1.0,0,0.0
2,79,58,399.854998,38,0.6551724137931034,20,0.3448275862068966,19,4.0,15.0,8.625709,-0.0,8.625709,1,1.0,0,0.0
3,383,304,399.239998,215,0.7072368421052632,89,0.29276315789473684,11,2.0,9.0,8.614708,-0.0,8.614708,1,1.0,0,0.0
4,783,400,-1.0,277,0.6925,123,0.3075,13,30.0,-17.0,8.611026,8.079446792602539,0.531579,0,0.75,1,0.25
5,804,21,399.947498,14,0.6666666666666666,7,0.3333333333333333,5,9.0,-4.0,8.614708,-0.0,8.614708,1,0.8,0,0.2
6,865,61,399.847498,34,0.5573770491803278,27,0.4426229508196721,14,13.0,1.0,8.611026,-0.0,8.611026,1,0.8333333333333334,0,0.16666666666666666
7,1265,400,-1.0,293,0.7325,107,0.2675,21,25.0,-4.0,8.629356,8.045655250549316,0.58370113,0,0.7142857142857143,1,0.2857142857142857
8,1279,14,399.964998,10,0.7142857142857143,4,0.2857142857142857,7,3.0,4.0,8.622052,-0.0,8.622052,1,0.75,0,0.25
9,1679,400,-1.0,269,0.6725,131,0.3275,15,19.0,-4.0,8.614708,7.823362350463867,0.7913456,0,0.6666666666666666,1,0.3333333333333333
10,2079,400,-1.0,288,0.72,112,0.28,7,8.0,-1.0,8.622052,7.216657638549805,1.4053946,0,0.6,1,0.4
11,2479,400,-1.0,281,0.7025,119,0.2975,21,9.0,12.0,8.618386,8.222126007080078,0.39626026,0,0.5454545454545454,1,0.45454545454545453
12,2569,90,399.774998,67,0.7444444444444445,23,0.25555555555555554,13,1.0,12.0,8.622052,-0.0,8.622052,1,0.5833333333333334,0,0.4166666666666667
13,2703,134,399.664998,99,0.7388059701492538,35,0.26119402985074625,18,10.0,8.0,8.618386,-0.0,8.618386,1,0.6153846153846154,0,0.38461538461538464
14,3103,400,-1.0,283,0.7075,117,0.2925,13,2.0,11.0,8.614708,5.981151580810547,2.6335564,0,0.5714285714285714,1,0.42857142857142855
15,3503,400,-1.0,261,0.6525,139,0.3475,11,19.0,-8.0,8.60733,7.308341026306152,1.2989893,0,0.5333333333333333,1,0.4666666666666667
16,3903,400,-1.0,294,0.735,106,0.265,22,8.0,14.0,8.622052,6.688851833343506,1.9332004,0,0.5,1,0.5
17,4303,400,-1.0,289,0.7225,111,0.2775,26,30.0,-4.0,8.625709,8.17765998840332,0.4480486,0,0.47058823529411764,1,0.5294117647058824
18,4703,400,-1.0,284,0.71,116,0.29,31,18.0,13.0,8.618386,7.704493999481201,0.91389227,0,0.4444444444444444,1,0.5555555555555556
19,5103,400,-1.0,272,0.68,128,0.32,23,14.0,9.0,8.629356,7.27361536026001,1.355741,0,0.42105263157894735,1,0.5789473684210527
20,5370,267,399.332498,192,0.7191011235955056,75,0.2808988764044944,12,15.0,-3.0,8.622052,-0.0,8.622052,1,0.45,0,0.55
