step,action,reward,total_moves,move_ratio,total_senses,sense_ratio,distance_to_maximum_belief,distance_to_maximum_belief_reduction,belief_shannon_entropy,belief_shannon_entropy_reduction,success,failure
1,3,-10.0,1,1.0,0,0.0,22.0,-17.0,8.60794734954834,0.006760597229003906,0,0
2,2,-0.75563854,2,1.0,0,0.0,4.0,-1.0,8.594953536987305,0.012993812561035156,0,0
3,4,-0.55567986,3,1.0,0,0.0,7.0,-1.0,8.592238426208496,0.0027151107788085938,0,0
4,1,0.5395259,4,1.0,0,0.0,6.0,1.0,8.588958740234375,0.0032796859741210938,0,0
5,2,-0.49548876,5,1.0,0,0.0,7.0,-1.0,8.587890625,0.001068115234375,0,0
6,1,0.46873397,6,1.0,0,0.0,6.0,1.0,8.585067749023438,0.0028228759765625,0,0
7,4,0.48001766,7,1.0,0,0.0,5.0,1.0,8.58385944366455,0.0012083053588867188,0,0
8,0,0.014272284,7,0.875,1,0.125,5.0,0.0,8.563735961914062,0.02012348175048828,0,0
9,1,-0.5149875,8,0.8888888888888888,1,0.1111111111111111,32.0,-1.0,8.563337326049805,0.0003986358642578125,0,0
10,2,0.53246903,9,0.9,1,0.1,31.0,1.0,8.564521789550781,-0.0011844635009765625,0,0
11,0,0.015823752,9,0.8181818181818182,2,0.18181818181818182,31.0,0.0,8.544361114501953,0.020160675048828125,0,0
12,0,0.0150245745,9,0.75,3,0.25,31.0,0.0,8.525959014892578,0.018402099609375,0,0
13,1,-0.5858492,10,0.7692307692307693,3,0.23076923076923078,32.0,-1.0,8.527807235717773,-0.0018482208251953125,0,0
14,0,0.016125817,10,0.7142857142857143,4,0.2857142857142857,32.0,0.0,8.508347511291504,0.01945972442626953,0,0
15,0,0.014743617,10,0.6666666666666666,5,0.3333333333333333,32.0,0.0,8.490923881530762,0.017423629760742188,0,0
16,1,-0.60067374,11,0.6875,5,0.3125,33.0,-1.0,8.491340637207031,-0.00041675567626953125,0,0
17,2,0.60908335,12,0.7058823529411765,5,0.29411764705882354,32.0,1.0,8.493779182434082,-0.0024385452270507812,0,0
18,3,0.6143109,13,0.7222222222222222,5,0.2777777777777778,31.0,1.0,8.495628356933594,-0.0018491744995117188,0,0
19,0,0.020930981,13,0.6842105263157895,6,0.3157894736842105,31.0,0.0,8.47203254699707,0.023595809936523438,0,0
20,4,-0.63199234,14,0.7,6,0.3,32.0,-1.0,8.474494934082031,-0.0024623870849609375,0,0
21,0,0.013963562,14,0.6666666666666666,7,0.3333333333333333,32.0,0.0,8.45840072631836,0.016094207763671875,0,0
22,3,0.60392195,15,0.6818181818181818,7,0.3181818181818182,31.0,1.0,8.461103439331055,-0.0027027130126953125,0,0
23,0,0.55729777,15,0.6521739130434783,8,0.34782608695652173,31.0,0.0,7.79727840423584,0.6638250350952148,0,0
24,3,0.554428,16,0.6666666666666666,8,0.3333333333333333,6.0,1.0,7.8157501220703125,-0.018471717834472656,0,0
25,4,-0.55560243,17,0.68,8,0.32,7.0,-1.0,7.837607383728027,-0.021857261657714844,0,0
26,4,-0.5414259,18,0.6923076923076923,8,0.3076923076923077,8.0,-1.0,7.8557233810424805,-0.018115997314453125,0,0
27,2,0.51346666,19,0.7037037037037037,8,0.2962962962962963,7.0,1.0,7.8740034103393555,-0.018280029296875,0,0
28,0,0.70338917,19,0.6785714285714286,9,0.32142857142857145,6.0,0.0,6.917393207550049,0.9566102027893066,0,0
29,0,0.4943514,19,0.6551724137931034,10,0.3448275862068966,5.0,0.0,6.232573509216309,0.6848196983337402,0,0
30,1,-0.5867745,20,0.6666666666666666,10,0.3333333333333333,5.0,-1.0,6.331716060638428,-0.09914255142211914,0,0
31,0,0.48354822,20,0.6451612903225806,11,0.3548387096774194,5.0,0.0,5.665928840637207,0.6657872200012207,0,0
32,1,8.049362,21,0.65625,11,0.34375,4.0,-1.0,-0.0,5.665928840637207,1,0
