episode,total_timesteps,length,reward,total_moves,move_ratio,total_senses,sense_ratio,initial_distance_to_victim,distance_to_maximum_belief,distance_to_maximum_belief_reduction,initial_belief_shannon_entropy,belief_shannon_entropy,belief_shannon_entropy_reduction,success,success_rate,failure,failure_rate
1,62,62,398.456657,38,0.6129032258064516,24,0.3870967741935484,5,14.0,-9.0,8.614708,-0.0,8.614708,1,1.0,0,0.0
2,321,259,405.023934,225,0.8687258687258688,34,0.13127413127413126,13,21.0,-8.0,8.611026,-0.0,8.611026,1,1.0,0,0.0
3,423,102,402.918001,91,0.8921568627450981,11,0.10784313725490197,8,11.0,-3.0,8.614708,-0.0,8.614708,1,1.0,0,0.0
4,823,400,1.149262,258,0.645,142,0.355,9,20.0,-11.0,8.625709,8.364364624023438,0.26134396,0,0.75,1,0.25
5,826,3,395.038432,3,1.0,0,0.0,4,5.0,-1.0,8.611026,-0.0,8.611026,1,0.8,0,0.2
6,1226,400,2.983993,369,0.9225,31,0.0775,19,11.0,8.0,8.614708,8.373306274414062,0.24140167,0,0.6666666666666666,1,0.3333333333333333
7,1284,58,404.239924,47,0.8103448275862069,11,0.1896551724137931,18,4.0,14.0,8.614708,-0.0,8.614708,1,0.7142857142857143,0,0.2857142857142857
8,1684,400,1.961596,336,0.84,64,0.16,16,23.0,-7.0,8.614708,8.290506362915039,0.32420158,0,0.625,1,0.375
9,2084,400,0.676744,230,0.575,170,0.425,13,27.0,-14.0,8.614708,8.208650588989258,0.40605736,0,0.5555555555555556,1,0.4444444444444444
10,2088,4,400.287786,3,0.75,1,0.25,5,5.0,0.0,8.629356,-0.0,8.629356,1,0.6,0,0.4
11,2488,400,-8.367585,376,0.94,24,0.06,16,20.0,-4.0,8.618386,7.75770902633667,0.86067724,0,0.5454545454545454,1,0.45454545454545453
12,2490,2,397.393059,0,0.0,2,1.0,2,31.0,-29.0,8.629356,-0.0,8.629356,1,0.5833333333333334,0,0.4166666666666667
13,2890,400,-3.09873,315,0.7875,85,0.2125,6,3.0,3.0,8.611026,6.31287956237793,2.2981462,0,0.5384615384615384,1,0.46153846153846156
14,3290,400,0.853033,384,0.96,16,0.04,16,29.0,-13.0,8.614708,8.442695617675781,0.17201233,0,0.5,1,0.5
15,3690,400,8.362326,330,0.825,70,0.175,30,7.0,23.0,8.614708,7.3444647789001465,1.2702432,0,0.4666666666666667,1,0.5333333333333333
16,3692,2,395.291841,2,1.0,0,0.0,3,8.0,-5.0,8.618386,-0.0,8.618386,1,0.5,0,0.5
17,3702,10,400.557745,8,0.8,2,0.2,8,6.0,2.0,8.614708,-0.0,8.614708,1,0.5294117647058824,0,0.47058823529411764
18,3724,22,404.498968,18,0.8181818181818182,4,0.18181818181818182,11,9.0,2.0,8.603626,-0.0,8.603626,1,0.5555555555555556,0,0.4444444444444444
19,4124,400,2.039877,276,0.69,124,0.31,4,23.0,-19.0,8.622052,8.086821556091309,0.53523064,0,0.5263157894736842,1,0.47368421052631576
20,4378,254,408.196223,223,0.8779527559055118,31,0.1220472440944882,18,23.0,-5.0,8.622052,-0.0,8.622052,1,0.55,0,0.45
21,4402,24,401.345188,9,0.375,15,0.625,19,2.0,17.0,8.614708,-0.0,8.614708,1,0.5714285714285714,0,0.42857142857142855
22,4802,400,-1.096209,261,0.6525,139,0.3475,10,20.0,-10.0,8.614708,8.017457962036133,0.59725,0,0.5454545454545454,1,0.45454545454545453
