step,action,reward,total_moves,move_ratio,total_senses,sense_ratio,distance_to_maximum_belief,distance_to_maximum_belief_reduction,belief_shannon_entropy,belief_shannon_entropy_reduction,success,failure
1,3,-10.0,1,1.0,0,0.0,22.0,-17.0,8.60794734954834,0.006760597229003906,0,0
2,4,-0.9002861,2,1.0,0,0.0,4.0,-1.0,8.605718612670898,0.0022287368774414062,0,0
3,1,0.90335613,3,1.0,0,0.0,5.0,1.0,8.60341739654541,0.0023012161254882812,0,0
4,4,0.80479723,4,1.0,0,0.0,4.0,1.0,8.600292205810547,0.0031251907348632812,0,0
5,1,-0.7516679,5,1.0,0,0.0,5.0,-1.0,8.594415664672852,0.0058765411376953125,0,0
6,1,0.74802226,6,1.0,0,0.0,2.0,1.0,8.590993881225586,0.003421783447265625,0,0
7,1,-0.7257352,7,1.0,0,0.0,3.0,-1.0,8.58931827545166,0.0016756057739257812,0,0
8,1,0.7241252,8,1.0,0,0.0,4.0,1.0,8.587137222290039,0.0021810531616210938,0,0
9,3,-0.70523125,9,1.0,0,0.0,5.0,-1.0,8.580883979797363,0.006253242492675781,0,0
10,4,-0.6743204,10,1.0,0,0.0,6.0,-1.0,8.583452224731445,-0.0025682449340820312,0,0
11,2,0.6593546,11,1.0,0,0.0,5.0,1.0,8.5836763381958,-0.00022411346435546875,0,0
12,2,0.6619652,12,1.0,0,0.0,4.0,1.0,8.581750869750977,0.0019254684448242188,0,0
13,2,-0.6560864,13,1.0,0,0.0,7.0,-1.0,8.581676483154297,7.43865966796875e-05,0,0
14,2,-0.64851034,14,1.0,0,0.0,8.0,-1.0,8.579774856567383,0.0019016265869140625,0,0
15,3,0.66485435,15,1.0,0,0.0,7.0,1.0,8.578008651733398,0.001766204833984375,0,0
16,2,-0.660626,16,1.0,0,0.0,8.0,-1.0,8.575641632080078,0.0023670196533203125,0,0
17,2,-3.7921376,17,1.0,0,0.0,22.0,-9.0,8.562278747558594,0.013362884521484375,0,0
18,2,-0.32870775,18,1.0,0,0.0,12.0,-1.0,8.549430847167969,0.012847900390625,0,0
