episode,total_timesteps,length,reward,total_moves,move_ratio,total_senses,sense_ratio,initial_distance_to_victim,distance_to_maximum_belief,distance_to_maximum_belief_reduction,initial_belief_shannon_entropy,belief_shannon_entropy,belief_shannon_entropy_reduction,success,success_rate,failure,failure_rate
1,53,53,395.65146,52,0.9811320754716981,1,0.018867924528301886,5,14.0,-9.0,8.614708,-0.0,8.614708,1,1.0,0,0.0
2,453,400,-0.816314,114,0.285,286,0.715,13,34.0,-21.0,8.611026,7.805773735046387,0.8052521,0,0.5,1,0.5
3,853,400,-5.534749,377,0.9425,23,0.0575,10,15.0,-5.0,8.625709,7.752374172210693,0.8733344,0,0.3333333333333333,1,0.6666666666666666
4,952,99,399.949545,74,0.7474747474747475,25,0.25252525252525254,7,8.0,-1.0,8.614708,-0.0,8.614708,1,0.5,0,0.5
5,1352,400,-2.385955,398,0.995,2,0.005,16,32.0,-16.0,8.622052,8.494847297668457,0.1272049,0,0.4,1,0.6
6,1752,400,-3.002777,398,0.995,2,0.005,17,28.0,-11.0,8.618386,8.581000328063965,0.03738594,0,0.3333333333333333,1,0.6666666666666666
7,1986,234,400.46841,156,0.6666666666666666,78,0.3333333333333333,11,8.0,3.0,8.611026,-0.0,8.611026,1,0.42857142857142855,0,0.5714285714285714
8,1996,10,401.589646,10,1.0,0,0.0,11,6.0,5.0,8.618386,-0.0,8.618386,1,0.5,0,0.5
9,2197,201,397.720761,200,0.9950248756218906,1,0.004975124378109453,9,35.0,-26.0,8.614708,-0.0,8.614708,1,0.5555555555555556,0,0.4444444444444444
10,2597,400,-0.234374,257,0.6425,143,0.3575,23,17.0,6.0,8.60733,7.123746871948242,1.4835835,0,0.5,1,0.5
11,2997,400,0.310065,389,0.9725,11,0.0275,13,10.0,3.0,8.611026,8.01407241821289,0.5969534,0,0.45454545454545453,1,0.5454545454545454
12,3133,136,401.114112,135,0.9926470588235294,1,0.007352941176470588,7,2.0,5.0,8.611026,-0.0,8.611026,1,0.5,0,0.5
13,3533,400,-3.742672,394,0.985,6,0.015,14,7.0,7.0,8.60733,8.390287399291992,0.21704292,0,0.46153846153846156,1,0.5384615384615384
14,3933,400,0.020041,175,0.4375,225,0.5625,17,36.0,-19.0,8.611026,7.637855529785156,0.9731703,0,0.42857142857142855,1,0.5714285714285714
15,4206,273,403.591288,211,0.7728937728937729,62,0.2271062271062271,13,20.0,-7.0,8.611026,-0.0,8.611026,1,0.4666666666666667,0,0.5333333333333333
16,4606,400,-4.259602,96,0.24,304,0.76,11,32.0,-21.0,8.618386,8.13107681274414,0.48730946,0,0.4375,1,0.5625
17,5006,400,-1.912217,363,0.9075,37,0.0925,15,20.0,-5.0,8.603626,8.191911697387695,0.41171455,0,0.4117647058823529,1,0.5882352941176471
18,5406,400,0.641149,371,0.9275,29,0.0725,8,8.0,0.0,8.625709,7.542538642883301,1.0831699,0,0.3888888888888889,1,0.6111111111111112
19,5806,400,-3.413122,237,0.5925,163,0.4075,14,22.0,-8.0,8.599912,7.9070329666137695,0.6928787,0,0.3684210526315789,1,0.631578947368421
20,6206,400,0.139057,210,0.525,190,0.475,9,17.0,-8.0,8.614708,7.922576904296875,0.69213104,0,0.35,1,0.65
21,6213,7,402.584997,6,0.8571428571428571,1,0.14285714285714285,9,16.0,-7.0,8.614708,-0.0,8.614708,1,0.38095238095238093,0,0.6190476190476191
22,6613,400,2.199754,354,0.885,46,0.115,26,29.0,-3.0,8.614708,8.322173118591309,0.29253483,0,0.36363636363636365,1,0.6363636363636364
23,7013,400,0.037482,349,0.8725,51,0.1275,16,22.0,-6.0,8.622052,6.166662216186523,2.45539,0,0.34782608695652173,1,0.6521739130434783
24,7218,205,402.452632,200,0.975609756097561,5,0.024390243902439025,16,7.0,9.0,8.622052,-0.0,8.622052,1,0.375,0,0.625
25,7335,117,400.542022,115,0.9829059829059829,2,0.017094017094017096,3,7.0,-4.0,8.629356,-0.0,8.629356,1,0.4,0,0.6
26,7611,276,408.927947,269,0.9746376811594203,7,0.025362318840579712,36,9.0,27.0,8.629356,-0.0,8.629356,1,0.4230769230769231,0,0.5769230769230769
27,8011,400,3.07074,198,0.495,202,0.505,18,23.0,-5.0,8.614708,8.028608322143555,0.5860996,0,0.4074074074074074,1,0.5925925925925926
28,8043,32,397.424622,21,0.65625,11,0.34375,5,14.0,-9.0,8.611026,-0.0,8.611026,1,0.42857142857142855,0,0.5714285714285714
29,8443,400,-2.773089,221,0.5525,179,0.4475,9,24.0,-15.0,8.60733,7.031917572021484,1.5754128,0,0.41379310344827586,1,0.5862068965517241
30,8635,192,402.474517,186,0.96875,6,0.03125,17,4.0,13.0,8.622052,-0.0,8.622052,1,0.43333333333333335,0,0.5666666666666667
31,8860,225,408.56561,200,0.8888888888888888,25,0.1111111111111111,10,10.0,0.0,8.625709,-0.0,8.625709,1,0.45161290322580644,0,0.5483870967741935
32,9016,156,403.089684,106,0.6794871794871795,50,0.32051282051282054,14,6.0,8.0,8.618386,-0.0,8.618386,1,0.46875,0,0.53125
33,9416,400,-0.242108,195,0.4875,205,0.5125,19,29.0,-10.0,8.618386,7.874912738800049,0.74347353,0,0.45454545454545453,1,0.5454545454545454
34,9816,400,5.578418,201,0.5025,199,0.4975,18,13.0,5.0,8.611026,8.230498313903809,0.3805275,0,0.4411764705882353,1,0.5588235294117647
