step,action,reward,total_moves,move_ratio,total_senses,sense_ratio,distance_to_maximum_belief,distance_to_maximum_belief_reduction,belief_shannon_entropy,belief_shannon_entropy_reduction,success,failure
1,4,-7.540507,1,1.0,0,0.0,24.0,-19.0,8.612438201904297,0.002269744873046875,0,0
2,3,0.37928504,2,1.0,0,0.0,4.0,1.0,8.609659194946289,0.0027790069580078125,0,0
3,0,0.0042918487,2,0.6666666666666666,1,0.3333333333333333,6.0,0.0,8.582135200500488,0.02752399444580078,0,0
4,1,-0.44053304,3,0.75,1,0.25,31.0,-1.0,8.582029342651367,0.00010585784912109375,0,0
5,2,0.42768404,4,0.8,1,0.2,30.0,1.0,8.582086563110352,-5.7220458984375e-05,0,0
6,1,-0.45898145,5,0.8333333333333334,1,0.16666666666666666,31.0,-1.0,8.582164764404297,-7.82012939453125e-05,0,0
7,3,0.4619441,6,0.8571428571428571,1,0.14285714285714285,30.0,1.0,8.577679634094238,0.004485130310058594,0,0
8,0,0.009900482,6,0.75,2,0.25,30.0,0.0,8.543290138244629,0.034389495849609375,0,0
9,2,0.5097887,7,0.7777777777777778,2,0.2222222222222222,29.0,1.0,8.544501304626465,-0.0012111663818359375,0,0
10,2,-0.55043703,8,0.8,2,0.2,30.0,-1.0,8.535280227661133,0.009221076965332031,0,0
11,1,0.5470233,9,0.8181818181818182,2,0.18181818181818182,29.0,1.0,8.53602123260498,-0.0007410049438476562,0,0
12,2,-0.59769946,10,0.8333333333333334,2,0.16666666666666666,30.0,-1.0,8.536052703857422,-3.147125244140625e-05,0,0
13,0,0.009543673,10,0.7692307692307693,3,0.23076923076923078,30.0,0.0,8.504561424255371,0.03149127960205078,0,0
14,0,0.008542401,10,0.7142857142857143,4,0.2857142857142857,30.0,0.0,8.4744873046875,0.030074119567871094,0,0
15,0,0.0073811417,10,0.6666666666666666,5,0.3333333333333333,30.0,0.0,8.445757865905762,0.02872943878173828,0,0
16,2,-0.6207533,11,0.6875,5,0.3125,31.0,-1.0,8.440853118896484,0.004904747009277344,0,0
17,4,-0.590204,12,0.7058823529411765,5,0.29411764705882354,32.0,-1.0,8.444238662719727,-0.0033855438232421875,0,0
18,1,0.52035195,13,0.7222222222222222,5,0.2777777777777778,31.0,1.0,8.447216987609863,-0.0029783248901367188,0,0
19,1,0.4860384,14,0.7368421052631579,5,0.2631578947368421,30.0,1.0,8.449562072753906,-0.0023450851440429688,0,0
20,1,-0.48662895,15,0.75,5,0.25,31.0,-1.0,8.451618194580078,-0.002056121826171875,0,0
21,2,0.43768442,16,0.7619047619047619,5,0.23809523809523808,30.0,1.0,8.453906059265137,-0.0022878646850585938,0,0
22,1,-0.44689006,17,0.7727272727272727,5,0.22727272727272727,31.0,-1.0,8.455803871154785,-0.0018978118896484375,0,0
23,3,0.40803087,18,0.782608695652174,5,0.21739130434782608,30.0,1.0,8.457151412963867,-0.0013475418090820312,0,0
24,1,-0.4220191,19,0.7916666666666666,5,0.20833333333333334,31.0,-1.0,8.449464797973633,0.007686614990234375,0,0
25,1,-0.41062447,20,0.8,5,0.2,32.0,-1.0,8.447638511657715,0.0018262863159179688,0,0
26,2,0.37745377,21,0.8076923076923077,5,0.19230769230769232,31.0,1.0,8.450139999389648,-0.0025014877319335938,0,0
27,0,0.43540823,21,0.7777777777777778,6,0.2222222222222222,31.0,0.0,7.611843585968018,0.8382964134216309,0,0
28,2,-0.3917995,22,0.7857142857142857,6,0.21428571428571427,6.0,-1.0,7.639857769012451,-0.028014183044433594,0,0
29,2,0.33439705,23,0.7931034482758621,6,0.20689655172413793,5.0,1.0,7.659458160400391,-0.019600391387939453,0,0
30,3,0.32956252,24,0.8,6,0.2,4.0,1.0,7.670646667480469,-0.011188507080078125,0,0
31,3,7.938737,25,0.8064516129032258,6,0.1935483870967742,4.0,1.0,-0.0,7.670646667480469,1,0
