episode,total_timesteps,length,reward,total_moves,move_ratio,total_senses,sense_ratio,initial_distance_to_victim,distance_to_maximum_belief,distance_to_maximum_belief_reduction,initial_belief_shannon_entropy,belief_shannon_entropy,belief_shannon_entropy_reduction,success,success_rate,failure,failure_rate
36,12346,400,-0.617459,272,0.68,128,0.32,12,9.0,3.0,8.614708,7.894913673400879,0.7197943,0,0.2222222222222222,1,0.7777777777777778
37,12746,400,-0.973986,290,0.725,110,0.275,15,14.0,1.0,8.618386,8.19407844543457,0.42430782,0,0.21621621621621623,1,0.7837837837837838
38,12774,28,399.160803,18,0.6428571428571429,10,0.35714285714285715,7,4.0,3.0,8.603626,-0.0,8.603626,1,0.23684210526315788,0,0.7631578947368421
39,13174,400,-0.899192,255,0.6375,145,0.3625,15,32.0,-17.0,8.622052,8.100536346435547,0.52151585,0,0.23076923076923078,1,0.7692307692307693
40,13574,400,-0.636061,290,0.725,110,0.275,15,23.0,-8.0,8.625709,8.105148315429688,0.52056026,0,0.225,1,0.775
41,13714,140,401.453326,91,0.65,49,0.35,14,3.0,11.0,8.614708,-0.0,8.614708,1,0.24390243902439024,0,0.7560975609756098
42,14114,400,-1.904788,287,0.7175,113,0.2825,8,24.0,-16.0,8.618386,8.298280715942383,0.32010555,0,0.23809523809523808,1,0.7619047619047619
43,14514,400,-1.180975,293,0.7325,107,0.2675,7,25.0,-18.0,8.614708,7.581969738006592,1.0327382,0,0.23255813953488372,1,0.7674418604651163
44,14914,400,-3.061432,293,0.7325,107,0.2675,5,32.0,-27.0,8.614708,7.999783515930176,0.61492443,0,0.22727272727272727,1,0.7727272727272727
45,15314,400,-2.296841,305,0.7625,95,0.2375,5,18.0,-13.0,8.618386,7.554626941680908,1.0637593,0,0.2222222222222222,1,0.7777777777777778
46,15714,400,0.888918,294,0.735,106,0.265,22,22.0,0.0,8.629356,7.980161666870117,0.6491947,0,0.21739130434782608,1,0.782608695652174
47,16114,400,-1.878613,300,0.75,100,0.25,13,27.0,-14.0,8.614708,8.015189170837402,0.5995188,0,0.2127659574468085,1,0.7872340425531915
48,16514,400,0.156341,286,0.715,114,0.285,23,15.0,8.0,8.622052,8.067719459533691,0.55433273,0,0.20833333333333334,1,0.7916666666666666
49,16693,179,398.818364,117,0.6536312849162011,62,0.3463687150837989,15,1.0,14.0,8.618386,-0.0,8.618386,1,0.22448979591836735,0,0.7755102040816326
50,16942,249,400.590727,180,0.7228915662650602,69,0.27710843373493976,12,3.0,9.0,8.611026,-0.0,8.611026,1,0.24,0,0.76
