step,action,reward,total_moves,move_ratio,total_senses,sense_ratio,distance_to_maximum_belief,distance_to_maximum_belief_reduction,belief_shannon_entropy,belief_shannon_entropy_reduction,success,failure
1,1,-8.449303,1,1.0,0,0.0,22.0,-17.0,8.61223030090332,0.0024776458740234375,0,0
2,0,0.015628302,1,0.5,1,0.5,3.0,0.0,8.584644317626953,0.027585983276367188,0,0
3,3,0.41206706,2,0.6666666666666666,1,0.3333333333333333,30.0,1.0,8.579957962036133,0.0046863555908203125,0,0
4,2,0.44046298,3,0.75,1,0.25,29.0,1.0,8.57774543762207,0.0022125244140625,0,0
5,4,-0.46887195,4,0.8,1,0.2,30.0,-1.0,8.577028274536133,0.0007171630859375,0,0
6,2,-0.44875583,5,0.8333333333333334,1,0.16666666666666666,31.0,-1.0,8.5642671585083,0.012761116027832031,0,0
7,3,0.47434238,6,0.8571428571428571,1,0.14285714285714285,30.0,1.0,8.562681198120117,0.0015859603881835938,0,0
8,1,0.48448792,7,0.875,1,0.125,29.0,1.0,8.561250686645508,0.001430511474609375,0,0
9,2,-0.4876315,8,0.8888888888888888,1,0.1111111111111111,30.0,-1.0,8.560641288757324,0.0006093978881835938,0,0
10,4,-0.47668493,9,0.9,1,0.1,31.0,-1.0,8.559844017028809,0.000797271728515625,0,0
11,2,-0.4573382,10,0.9090909090909091,1,0.09090909090909091,32.0,-1.0,8.548368453979492,0.011475563049316406,0,0
12,1,0.4563877,11,0.9166666666666666,1,0.08333333333333333,31.0,1.0,8.54820442199707,0.000164031982421875,0,0
13,3,0.4667142,12,0.9230769230769231,1,0.07692307692307693,30.0,1.0,8.547688484191895,0.0005159378051757812,0,0
14,4,-0.46427956,13,0.9285714285714286,1,0.07142857142857142,31.0,-1.0,8.547843933105469,-0.00015544891357421875,0,0
15,3,0.4530749,14,0.9333333333333333,1,0.06666666666666667,30.0,1.0,8.547698974609375,0.00014495849609375,0,0
16,1,0.43950027,15,0.9375,1,0.0625,29.0,1.0,8.54538631439209,0.0023126602172851562,0,0
17,2,-0.42769113,16,0.9411764705882353,1,0.058823529411764705,30.0,-1.0,8.546463012695312,-0.0010766983032226562,0,0
18,0,0.013082205,16,0.8888888888888888,2,0.1111111111111111,30.0,0.0,8.521817207336426,0.02464580535888672,0,0
19,0,0.014355062,16,0.8421052631578947,3,0.15789473684210525,30.0,0.0,8.494887351989746,0.026929855346679688,0,0
20,2,-0.4138146,17,0.85,3,0.15,31.0,-1.0,8.493898391723633,0.0009889602661132812,0,0
21,4,-0.40722793,18,0.8571428571428571,3,0.14285714285714285,32.0,-1.0,8.49609375,-0.0021953582763671875,0,0
22,3,0.40359983,19,0.8636363636363636,3,0.13636363636363635,31.0,1.0,8.498028755187988,-0.0019350051879882812,0,0
23,4,-0.4016685,20,0.8695652173913043,3,0.13043478260869565,32.0,-1.0,8.499807357788086,-0.0017786026000976562,0,0
24,1,0.39613047,21,0.875,3,0.125,31.0,1.0,8.501047134399414,-0.001239776611328125,0,0
25,2,-0.39904782,22,0.88,3,0.12,32.0,-1.0,8.502721786499023,-0.001674652099609375,0,0
26,3,0.39391083,23,0.8846153846153846,3,0.11538461538461539,31.0,1.0,8.504082679748535,-0.0013608932495117188,0,0
27,0,0.016177433,23,0.8518518518518519,4,0.14814814814814814,31.0,0.0,8.472479820251465,0.03160285949707031,0,0
28,1,0.39006266,24,0.8571428571428571,4,0.14285714285714285,30.0,1.0,8.4747896194458,-0.0023097991943359375,0,0
29,4,-0.3973971,25,0.8620689655172413,4,0.13793103448275862,31.0,-1.0,8.47693157196045,-0.0021419525146484375,0,0
30,2,-0.39458472,26,0.8666666666666667,4,0.13333333333333333,32.0,-1.0,8.479289054870605,-0.00235748291015625,0,0
31,0,0.013168492,26,0.8387096774193549,5,0.16129032258064516,32.0,0.0,8.452835083007812,0.02645397186279297,0,0
32,1,0.3746183,27,0.84375,5,0.15625,31.0,1.0,8.45565414428711,-0.002819061279296875,0,0
33,1,0.37269536,28,0.8484848484848485,5,0.15151515151515152,30.0,1.0,8.457572937011719,-0.001918792724609375,0,0
34,3,0.37433285,29,0.8529411764705882,5,0.14705882352941177,29.0,1.0,8.45890998840332,-0.0013370513916015625,0,0
35,4,8.426518,30,0.8571428571428571,5,0.14285714285714285,30.0,-1.0,-0.0,8.45890998840332,1,0
